danceability,energy,speechiness,acousticness,instrumentalness,valence,track_id,playlist_id
0.637,0.603,0.364,0.0246,0.0,0.675,2Wrisf5A274cxLFa1u3fmI,4NvVpXZLIZ4z5yzTIqgLve
0.492,0.716,0.321,0.00828,0.0,0.878,2eK3hXbKG2uhn9XNsgTHqM,4NvVpXZLIZ4z5yzTIqgLve
0.843,0.435,0.178,0.47,0.0,0.19,6GnhWMhgJb7uyiiPEiEkDA,4NvVpXZLIZ4z5yzTIqgLve
0.636,0.901,0.118,0.119,0.0,0.836,3uulVrxiI7iLTjOBZsaiF8,4NvVpXZLIZ4z5yzTIqgLve
0.649,0.822,0.0398,0.00258,3.83e-05,0.201,5aQmsZCESbhasWW5VARdS8,4NvVpXZLIZ4z5yzTIqgLve
0.793,0.552,0.313,0.00806,0.0,0.31,2uCMts8MLE3GktieyAIeXu,4NvVpXZLIZ4z5yzTIqgLve
0.804,0.823,0.256,0.0812,0.0,0.719,0Y1wsOHYGbNNNGeYjQJ8BL,4NvVpXZLIZ4z5yzTIqgLve
0.789,0.449,0.395,0.0624,0.0,0.301,1tJRS17TxD5bwdTk8ehP93,4NvVpXZLIZ4z5yzTIqgLve
0.666,0.84,0.327,0.489,0.0,0.697,1345xOev1kyaeqRdeTxiLi,4NvVpXZLIZ4z5yzTIqgLve
0.508,0.713,0.317,0.131,0.0,0.626,1hCRXb8UC8uUVqWWwLthwW,4NvVpXZLIZ4z5yzTIqgLve
0.534,0.94,0.333,0.419,0.0,0.635,0h52x9IP819zgyBSUg2liC,4NvVpXZLIZ4z5yzTIqgLve
0.637,0.91,0.358,0.194,0.0,0.627,2BBey4srsGygUWLszNgT4c,4NvVpXZLIZ4z5yzTIqgLve
0.525,0.943,0.363,0.168,0.0,0.653,2YUXuJYDVX9x9I2Pd7ZVjX,4NvVpXZLIZ4z5yzTIqgLve
0.756,0.855,0.0669,0.136,0.00028,0.811,1iUoWD9qE93GyoT80O5IKt,4NvVpXZLIZ4z5yzTIqgLve
0.781,0.589,0.21,0.148,0.0,0.864,2OsGdZYDdTK4pxDMsK0Blv,4NvVpXZLIZ4z5yzTIqgLve
0.449,0.638,0.334,0.597,0.0,0.655,0qIuovp55BJg9tSmS2ZtFK,4NvVpXZLIZ4z5yzTIqgLve
0.587,0.585,0.448,0.0665,0.000542,0.626,2hhyD4WUKJp670ScUzZazu,4NvVpXZLIZ4z5yzTIqgLve
0.708,0.691,0.231,0.101,0.0,0.69,5hKhgLNVFgzo6x8bEMhhJQ,4NvVpXZLIZ4z5yzTIqgLve
0.803,0.737,0.258,0.323,0.0,0.484,6iGSLWmAj6E4GGnSzLxBJf,4NvVpXZLIZ4z5yzTIqgLve
0.809,0.467,0.444,0.26,0.0,0.78,7nk7oS0G6qG3ofHUAKbg9F,4NvVpXZLIZ4z5yzTIqgLve
0.366,0.756,0.101,0.154,0.0,0.45,18gs5fSx6QiuYdXnJGmejM,4NvVpXZLIZ4z5yzTIqgLve
0.839,0.74,0.261,0.0125,0.0,0.48,1r3pYoiXXMTPJr8GOVl2c8,4NvVpXZLIZ4z5yzTIqgLve
0.746,0.736,0.227,0.0101,5.56e-06,0.808,20ccLIFUpfzgX5kSbDakH4,4NvVpXZLIZ4z5yzTIqgLve
0.814,0.681,0.133,0.0457,0.0147,0.523,6BrexiFxPmKrX1WRbFX8sK,4NvVpXZLIZ4z5yzTIqgLve
0.928,0.882,0.245,0.402,2.16e-06,0.691,7htuNpZWosnto4wXMkKYZk,4NvVpXZLIZ4z5yzTIqgLve
0.641,0.521,0.479,0.535,0.0,0.554,6Qsl3MRFH9rWqAVC3CBN6i,4NvVpXZLIZ4z5yzTIqgLve
0.779,0.703,0.0738,0.0581,0.00142,0.705,53Kkoxv2hI5Vyp4PvadIOP,4NvVpXZLIZ4z5yzTIqgLve
0.919,0.657,0.0907,0.00293,0.0,0.659,5pBvNeOAJ54zgd5lEOmM3b,4NvVpXZLIZ4z5yzTIqgLve
0.551,0.851,0.197,0.0748,0.0,0.1,6yr8GiTHWvFfi4o6Q5ebdT,4NvVpXZLIZ4z5yzTIqgLve
0.947,0.655,0.0609,0.0331,0.0,0.787,1MYlx4dBtiyjn7K8YSyfzT,4NvVpXZLIZ4z5yzTIqgLve
0.449,0.892,0.225,0.0044,0.0,0.416,29Key5Lj0YlIMH8JzRDy6U,4NvVpXZLIZ4z5yzTIqgLve
0.698,0.774,0.229,0.261,0.000591,0.518,5veIeQ8tk07IlIp34NeI8s,4NvVpXZLIZ4z5yzTIqgLve
0.847,0.694,0.255,0.0078,2.1e-06,0.498,35vIVrpZFdEtreA0vCaRqv,4NvVpXZLIZ4z5yzTIqgLve
0.51,0.495,0.163,0.0253,0.00136,0.116,1PqrY62OuXiSmeiqYQEE3o,4NvVpXZLIZ4z5yzTIqgLve
0.601,0.86,0.0419,0.217,0.0064,0.741,2ay1447r5ceIDovoIYDnCN,4NvVpXZLIZ4z5yzTIqgLve
0.801,0.691,0.0491,0.05,6.49e-06,0.134,3pLyXvLtqWXA6Xzeq9PoCX,4NvVpXZLIZ4z5yzTIqgLve
0.805,0.812,0.177,0.0381,2.46e-06,0.342,5L0mMY1B4YKkaxdiNgVLoT,4NvVpXZLIZ4z5yzTIqgLve
0.814,0.585,0.337,0.0148,0.0,0.376,1cXQnGrKdXvx6LzBua3xGd,4NvVpXZLIZ4z5yzTIqgLve
0.645,0.624,0.325,0.333,0.0,0.333,1M1GaIPnB1KVLMGx5afM4K,4NvVpXZLIZ4z5yzTIqgLve
0.641,0.861,0.0494,0.129,0.000207,0.587,0HHvRJqPIoaCe934zxaM73,4NvVpXZLIZ4z5yzTIqgLve
0.743,0.787,0.348,0.403,0.0,0.71,6IY2y3kjjLaNbxW4GLiYQR,4NvVpXZLIZ4z5yzTIqgLve
0.794,0.494,0.199,0.514,0.0,0.53,4A5JwTktOqMtayAVVmrDzE,4NvVpXZLIZ4z5yzTIqgLve
0.801,0.578,0.181,0.0103,0.811,0.499,0cfqYhY6B8PbGF9vaVNUeG,4NvVpXZLIZ4z5yzTIqgLve
0.788,0.859,0.315,0.127,0.0,0.769,4Li2WHPkuyCdtmokzW2007,4NvVpXZLIZ4z5yzTIqgLve
0.742,0.549,0.103,0.0519,0.0,0.093,1m9OHohGwd3lWOMTZGZSJM,4NvVpXZLIZ4z5yzTIqgLve
0.686,0.623,0.13,0.00287,0.00145,0.176,6X92l986jasw5nvGsblwk0,4NvVpXZLIZ4z5yzTIqgLve
0.413,0.928,0.321,0.106,0.0,0.469,1fG3GhVjjllIurQSNKiQgx,4NvVpXZLIZ4z5yzTIqgLve
0.61,0.76,0.378,0.0306,0.0,0.352,2DxmjucrEJZGF0gy9QoEMV,4NvVpXZLIZ4z5yzTIqgLve
0.676,0.878,0.303,0.342,0.0,0.595,4yXb7Ok5ZXPmsZZ1drRznz,4NvVpXZLIZ4z5yzTIqgLve
0.711,0.857,0.235,0.168,0.0,0.641,0zcVQZ8FPCPyLazgnPX7Jq,4NvVpXZLIZ4z5yzTIqgLve
0.75,0.912,0.251,0.136,0.0,0.626,4cs9i4MrW3eMyyGfJZXLx6,4NvVpXZLIZ4z5yzTIqgLve
0.759,0.782,0.0741,0.000589,0.0,0.507,5jHilrZDaP1vJMZfdN1He3,4NvVpXZLIZ4z5yzTIqgLve
0.925,0.737,0.0777,0.092,0.0,0.603,0Zh5U48tZNeAzzLTV1CVBE,4NvVpXZLIZ4z5yzTIqgLve
0.814,0.779,0.235,0.175,0.000671,0.544,6ltPEsP4edATzvinHOzvk2,4NvVpXZLIZ4z5yzTIqgLve
0.685,0.621,0.361,0.433,0.0,0.538,1Ysc1uDZtf430TGavoS1j4,4NvVpXZLIZ4z5yzTIqgLve
0.692,0.833,0.0492,0.000136,1.98e-05,0.692,5XhkV07Vou38wnrzwURUOC,4NvVpXZLIZ4z5yzTIqgLve
0.774,0.634,0.167,0.0199,2.98e-05,0.752,4EOpol0K5u620R2OLfoJ1B,4NvVpXZLIZ4z5yzTIqgLve
0.848,0.854,0.0845,0.47,2.29e-06,0.876,2wD3LhUzTSWBJjL52TFrc7,4NvVpXZLIZ4z5yzTIqgLve
0.767,0.881,0.109,0.191,8.29e-06,0.939,2g9E9UyZ3pdJ1eqUQW0tfQ,4NvVpXZLIZ4z5yzTIqgLve
0.865,0.884,0.138,0.121,2.31e-06,0.788,4zUpQQmFfMknZ0rjS9EK1N,4NvVpXZLIZ4z5yzTIqgLve
0.799,0.693,0.284,0.0063,0.0,0.707,35VUTs0LoeWGp69L0jyHOZ,4NvVpXZLIZ4z5yzTIqgLve
0.549,0.853,0.188,0.0285,0.000296,0.346,0WKYRFtH6KKbaNWjsxqm70,4NvVpXZLIZ4z5yzTIqgLve
0.769,0.788,0.159,0.00259,0.0174,0.485,4dCmc79i7eqbLeoi9dgslj,4NvVpXZLIZ4z5yzTIqgLve
0.843,0.805,0.269,0.142,0.0,0.615,0I3q5fE6wg7LIfHGngUTnV,4NvVpXZLIZ4z5yzTIqgLve
0.863,0.584,0.257,0.0214,3.76e-06,0.786,5qAkID2yviiozIXo9l8vKr,4NvVpXZLIZ4z5yzTIqgLve
0.782,0.819,0.251,0.252,0.0,0.725,2Dts49OexROL2KvCK2sokf,4NvVpXZLIZ4z5yzTIqgLve
0.878,0.57,0.414,0.279,0.0,0.739,5t6bYzld1vAXUEs9GAA149,4NvVpXZLIZ4z5yzTIqgLve
0.832,0.657,0.218,0.052,0.0,0.389,5jjAUXUCyOP6Ra0whgpwf4,4NvVpXZLIZ4z5yzTIqgLve
0.695,0.827,0.282,0.179,0.0,0.538,4fVqQKbROkz8Z9FFJS7vls,4NvVpXZLIZ4z5yzTIqgLve
0.77,0.858,0.125,0.0111,0.0,0.754,6mqmYfy7i8rBqgs3e2J0d4,4NvVpXZLIZ4z5yzTIqgLve
0.604,0.737,0.292,0.277,0.0,0.683,3gAvYSeYWyBMqGuLmrZs23,4NvVpXZLIZ4z5yzTIqgLve
0.634,0.845,0.352,0.00602,5.29e-06,0.929,3gY6tiCNsuVi6s8kPV6aQg,4NvVpXZLIZ4z5yzTIqgLve
0.556,0.662,0.14,0.108,0.0,0.523,5GoRPJsRWmrd4ll2qPbXuV,4NvVpXZLIZ4z5yzTIqgLve
0.791,0.638,0.246,0.153,3.98e-06,0.393,0W79y7M0f7qbaIpYCJ6wWO,4NvVpXZLIZ4z5yzTIqgLve
0.861,0.638,0.323,0.0516,0.00224,0.765,3dSGqXMll4UJUohLANG0ce,4NvVpXZLIZ4z5yzTIqgLve
0.758,0.519,0.0395,0.117,0.0742,0.617,3jFTsobEff1Cz8DlIAisYY,4NvVpXZLIZ4z5yzTIqgLve
0.637,0.862,0.191,0.293,0.0,0.573,01xhMrdCefADl7HSttJaf7,4NvVpXZLIZ4z5yzTIqgLve
0.849,0.521,0.216,0.306,1.65e-06,0.763,68pWLkspLFIfIPPtzyTkQy,4NvVpXZLIZ4z5yzTIqgLve
0.71,0.905,0.324,0.0391,0.00093,0.817,7CMAwm7mEkZkkaBl82DicE,4NvVpXZLIZ4z5yzTIqgLve
0.782,0.789,0.478,0.138,0.00401,0.536,6lVM5MWbQuukUFfslPyHKT,4NvVpXZLIZ4z5yzTIqgLve
0.911,0.686,0.0626,0.0266,0.0,0.641,2tS9xMPn1Gtr6Y523rCuT6,4NvVpXZLIZ4z5yzTIqgLve
0.797,0.852,0.172,0.0432,3.97e-06,0.674,09EwNbGvUyu7BDEYG0cJro,4NvVpXZLIZ4z5yzTIqgLve
0.769,0.691,0.0563,0.00197,0.0,0.681,1BZm0t49YEhM8xbTINoQKp,4NvVpXZLIZ4z5yzTIqgLve
0.652,0.814,0.31,0.164,0.0,0.788,1dizvxctg9dHEyaYTFufVi,4NvVpXZLIZ4z5yzTIqgLve
0.803,0.627,0.443,0.286,0.0,0.638,3RFBeo5yY5GxOYoJvtwAoF,4NvVpXZLIZ4z5yzTIqgLve
0.863,0.771,0.19,0.00954,0.0,0.812,1YrHyDbH17btvI2rFTkbCQ,4NvVpXZLIZ4z5yzTIqgLve
0.842,0.689,0.234,0.0361,0.0,0.648,6dqE95KU5yVcqDkgEt3TIm,4NvVpXZLIZ4z5yzTIqgLve
0.826,0.726,0.261,0.0213,0.0698,0.398,38aGhG0KaU7m5K1OTH62aM,4NvVpXZLIZ4z5yzTIqgLve
0.934,0.562,0.24,0.0476,1.31e-06,0.712,0KbIwqCAHmXWu7hrszXY6j,4NvVpXZLIZ4z5yzTIqgLve
0.864,0.741,0.32,0.0695,0.0,0.859,7HytgSx48IPNpKBKl0k6Eb,4NvVpXZLIZ4z5yzTIqgLve
0.677,0.812,0.13,0.0018,1.93e-06,0.166,3C7RbG9Co0zjO7CsuEOqRa,4NvVpXZLIZ4z5yzTIqgLve
0.797,0.711,0.301,0.0381,0.0,0.712,1KARb8DGMQH4ShJw4bNg7c,4NvVpXZLIZ4z5yzTIqgLve
0.897,0.284,0.346,0.34,0.000503,0.434,2EbQzx4SPYv6Aup9mhP9U0,4NvVpXZLIZ4z5yzTIqgLve
0.74,0.775,0.353,0.0118,1.15e-05,0.728,3CjxjozKZM8CNuekiT0JdE,4NvVpXZLIZ4z5yzTIqgLve
0.631,0.94,0.312,0.0449,0.0,0.423,4TdERijTpnDRukcAQkbddo,4NvVpXZLIZ4z5yzTIqgLve
0.877,0.827,0.215,0.294,8.68e-06,0.732,4Uv115JhxMs0hiv52wAf0h,4NvVpXZLIZ4z5yzTIqgLve
0.802,0.785,0.207,0.14,0.0,0.435,60WcXjimfbhk6T0gj1Eufg,4NvVpXZLIZ4z5yzTIqgLve
0.78,0.768,0.238,0.0371,2.34e-06,0.507,2vM5723OlP36G8FcL3QQOn,4NvVpXZLIZ4z5yzTIqgLve
0.81,0.724,0.268,0.127,0.0,0.573,3IARjIeoQQGmY5bcfLlhrU,4NvVpXZLIZ4z5yzTIqgLve
0.516,0.874,0.186,0.0864,0.0,0.391,3LySNPf6PRGhOVWJdZutow,4NvVpXZLIZ4z5yzTIqgLve
0.672,0.636,0.423,0.102,0.0,0.58,6wyGelqeDlQevDWlNGy5Lv,4NvVpXZLIZ4z5yzTIqgLve
0.697,0.744,0.229,0.0958,0.0,0.504,2nzFiCB8YoXf24MAM1qDmU,4NvVpXZLIZ4z5yzTIqgLve
0.697,0.711,0.379,0.373,0.0,0.61,4DhGh3CU7dzZLRu2bIrrIq,4NvVpXZLIZ4z5yzTIqgLve
